problem_statement,titleslug,title,tags,num_occur
"Implement the myAtoi(string s) function, which converts a string to a 32-bit signed integer (similar to C/C++'s atoi function). The algorithm for myAtoi(string s) is as follows:  Read in and ignore any leading whitespace. Check if the next character (if not already at the end of the string) is '-' or '+'. Read this character in if it is either. This determines if the final result is negative or positive respectively. Assume the result is positive if neither is present. Read in next the characters until the next non-digit character or the end of the input is reached. The rest of the string is ignored. Convert these digits into an integer (i.e. ""123"" -> 123, ""0032"" -> 32). If no digits were read, then the integer is 0. Change the sign as necessary (from step 2). If the integer is out of the 32-bit signed integer range [-231, 231 - 1], then clamp the integer so that it remains in the range. Specifically, integers less than -231 should be clamped to -231, and integers greater than 231 - 1 should be clamped to 231 - 1. Return the integer as the final result.  Note:  Only the space character ' ' is considered a whitespace character. Do not ignore any characters other than the leading whitespace or the rest of the string after the digits.   ",string-to-integer-atoi,String to Integer (atoi),String,6
"You are given an undirected weighted graph of n nodes (0-indexed), represented by an edge list where edges[i] = [a, b] is an undirected edge connecting the nodes a and b with a probability of success of traversing that edge succProb[i]. Given two nodes start and end, find the path with the maximum probability of success to go from start to end and return its success probability. If there is no path from start to end, return 0. Your answer will be accepted if it differs from the correct answer by at most 1e-5.  ",path-with-maximum-probability,Path with Maximum Probability,"Array, Graph, Heap (Priority Queue), Shortest Path",5
"Given an array of integers arr, you are initially positioned at the first index of the array. In one step you can jump from index i to index:  i + 1 where: i + 1 < arr.length. i - 1 where: i - 1 >= 0. j where: arr[i] == arr[j] and i != j.  Return the minimum number of steps to reach the last index of the array. Notice that you can not jump outside of the array at any time.  ",jump-game-iv,Jump Game IV,"Array, Hash Table, Breadth-First Search",5
"Given an n x n binary matrix grid, return the length of the shortest clear path in the matrix. If there is no clear path, return -1. A clear path in a binary matrix is a path from the top-left cell (i.e., (0, 0)) to the bottom-right cell (i.e., (n - 1, n - 1)) such that:  All the visited cells of the path are 0. All the adjacent cells of the path are 8-directionally connected (i.e., they are different and they share an edge or a corner).  The length of a clear path is the number of visited cells of this path.  ",shortest-path-in-binary-matrix,Shortest Path in Binary Matrix,"Array, Breadth-First Search, Matrix",5
"Given an integer array nums sorted in non-decreasing order, return an array of the squares of each number sorted in non-decreasing order.  ",squares-of-a-sorted-array,Squares of a Sorted Array,"Array, Two Pointers, Sorting",5
"You are given a string s representing an attendance record for a student where each character signifies whether the student was absent, late, or present on that day. The record only contains the following three characters:  'A': Absent. 'L': Late. 'P': Present.  The student is eligible for an attendance award if they meet both of the following criteria:  The student was absent ('A') for strictly fewer than 2 days total. The student was never late ('L') for 3 or more consecutive days.  Return true if the student is eligible for an attendance award, or false otherwise.  ",student-attendance-record-i,Student Attendance Record I,String,5
"You are given n points in the plane that are all distinct, where points[i] = [xi, yi]. A boomerang is a tuple of points (i, j, k) such that the distance between i and j equals the distance between i and k (the order of the tuple matters). Return the number of boomerangs.  ",number-of-boomerangs,Number of Boomerangs,"Array, Hash Table, Math",5
"Given two non-negative integers, num1 and num2 represented as string, return the sum of num1 and num2 as a string. You must solve the problem without using any built-in library for handling large integers (such as BigInteger). You must also not convert the inputs to integers directly.  ",add-strings,Add Strings,"Math, String, Simulation",5
"The thief has found himself a new place for his thievery again. There is only one entrance to this area, called root. Besides the root, each house has one and only one parent house. After a tour, the smart thief realized that all houses in this place form a binary tree. It will automatically contact the police if two directly-linked houses were broken into on the same night. Given the root of the binary tree, return the maximum amount of money the thief can rob without alerting the police.  ",house-robber-iii,House Robber III,"Dynamic Programming, Tree, Depth-First Search, Binary Tree",5
"You are given an integer array coins representing coins of different denominations and an integer amount representing a total amount of money. Return the fewest number of coins that you need to make up that amount. If that amount of money cannot be made up by any combination of the coins, return -1. You may assume that you have an infinite number of each kind of coin.  ",coin-change,Coin Change,"Array, Dynamic Programming, Breadth-First Search",5
